Experiment,Precision,Recall,F1
Train_Homogenous_Test_Heterogenous,0.81 ± 0.00,0.93 ± 0.00,0.86 ± 0.00
Train_Heterogenous_Test_Homogenous,0.89 ± 0.00,0.83 ± 0.02,0.86 ± 0.01
Train_Lightweight_Test_Heavyweight,0.63 ± 0.01,0.60 ± 0.04,0.61 ± 0.01
Train_Heavyweight_Test_Lightweight,0.76 ± 0.00,0.95 ± 0.00,0.84 ± 0.00
AVERAGE,0.77,0.83,0.79
