composition,game_id,agent_name,model_name,alignment,correct_votes,incorrect_votes,skipped_votes,emergency_meetings,bodies_reported,rounds_survived,eliminations,won_game,times_eliminated,ejections,num_moves,votes_received,timestamp
custom_helloworld,helloworld,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-16 14:16:51
custom_helloworld,helloworld,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-16 14:16:51
custom_helloworld,helloworld,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,0,0,2026-02-16 14:16:51
custom_helloworld,helloworld,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,0,0,0,0,0,1,0,0,4,0,2026-02-16 14:16:51
custom_helloworld,helloworld,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,0,0,0,0,1,1,0,0,1,0,2026-02-16 14:16:51
