composition,game_id,agent_name,model_name,alignment,correct_votes,incorrect_votes,skipped_votes,emergency_meetings,bodies_reported,rounds_survived,eliminations,won_game,times_eliminated,ejections,num_moves,votes_received,timestamp
custom_hello123,hello123,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,1,0,0,0,0,0,0,1,0,0,1,0,2026-02-16 14:10:47
custom_hello123,hello123,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,1,0,0,0,0,0,0,1,0,0,1,0,2026-02-16 14:10:47
custom_hello123,hello123,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,0,0,0,0,1,0,3,2026-02-16 14:10:47
custom_hello123,hello123,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,1,0,0,0,0,0,0,0,2,2026-02-16 14:10:47
custom_hello123,hello123,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,0,0,0,0,0,0,0,2026-02-16 14:10:47
