game_id,round_id,timestamp,num_alive,num_killed
b43f8d4a-da2e-450c-a055-6657c0d16b17,0,,8,0
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,0,,8,0
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,0,,8,0
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,0,,8,0
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,0,,8,0
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,0,,8,0
ee00d321-014b-4b6f-a51a-4bfebc72a84f,0,,8,0
a8209c0b-86e7-49a4-87df-032a336a9e1e,0,,8,0
b43f8d4a-da2e-450c-a055-6657c0d16b17,1,,8,1
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,1,,8,1
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,1,,8,1
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,1,,8,1
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,1,,8,1
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,1,,8,1
ee00d321-014b-4b6f-a51a-4bfebc72a84f,1,,8,1
a8209c0b-86e7-49a4-87df-032a336a9e1e,1,,8,1
b43f8d4a-da2e-450c-a055-6657c0d16b17,2,,8,1
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,2,,8,1
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,2,,8,1
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,2,,8,1
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,2,,8,1
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,2,,8,1
ee00d321-014b-4b6f-a51a-4bfebc72a84f,2,,8,1
a8209c0b-86e7-49a4-87df-032a336a9e1e,2,,8,1
b43f8d4a-da2e-450c-a055-6657c0d16b17,3,,7,2
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,3,,7,2
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,3,,7,2
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,3,,7,2
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,3,,7,2
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,3,,7,2
ee00d321-014b-4b6f-a51a-4bfebc72a84f,3,,7,2
a8209c0b-86e7-49a4-87df-032a336a9e1e,3,,7,2
5c4615c5-7732-45e6-b33c-45c87ae144ff,0,,8,0
1a87a7c4-feea-4e2b-b308-8a2ec236535a,0,,8,0
458a598f-6e2a-4d72-a64d-f9936a28f1cc,0,,8,0
00622173-7998-490b-926b-fc969937547f,0,,8,0
8d118a06-c817-4dfe-ab02-076744d75e58,0,,8,0
753afee7-2989-4bff-a7af-1351ead9181f,0,,8,0
