game_id,round_id,agent_id,target_agent,trust_delta,timestamp
fa9afbf2-aecb-4bb2-a2a0-5b11dfc07f87,4,Agent_8,Agent_7,-20,
a0410e63-4202-4c1c-b14b-17d585949a79,5,Agent_2,Agent_6,-20,
f23264e8-aa66-4aae-95a0-ee6140925fad,5,Agent_2,Agent_6,-20,
1ac50410-0d84-4087-a828-99cc2771a959,5,Agent_2,Agent_6,-20,
b5eb1045-ef58-43f9-9f3d-f88e7689e2b4,5,Agent_2,Agent_6,-20,
e6462248-9425-4193-80af-8845a880d755,5,Agent_2,Agent_6,-20,
019f597a-ea9c-45ca-afe9-7e00e3321c2a,5,Agent_2,Agent_6,-20,
cc4b2ea7-2035-4d20-ade4-9ee3e0ac2885,5,Agent_2,Agent_6,-20,
fa9afbf2-aecb-4bb2-a2a0-5b11dfc07f87,5,Agent_2,Agent_6,-20,
a0410e63-4202-4c1c-b14b-17d585949a79,5,Agent_5,Agent_6,-20,
f23264e8-aa66-4aae-95a0-ee6140925fad,5,Agent_5,Agent_6,-20,
1ac50410-0d84-4087-a828-99cc2771a959,5,Agent_5,Agent_6,-20,
b5eb1045-ef58-43f9-9f3d-f88e7689e2b4,5,Agent_5,Agent_6,-20,
e6462248-9425-4193-80af-8845a880d755,5,Agent_5,Agent_6,-20,
019f597a-ea9c-45ca-afe9-7e00e3321c2a,5,Agent_5,Agent_6,-20,
cc4b2ea7-2035-4d20-ade4-9ee3e0ac2885,5,Agent_5,Agent_6,-20,
fa9afbf2-aecb-4bb2-a2a0-5b11dfc07f87,5,Agent_5,Agent_6,-20,
a0410e63-4202-4c1c-b14b-17d585949a79,5,Agent_6,Agent_6,-20,
f23264e8-aa66-4aae-95a0-ee6140925fad,5,Agent_6,Agent_6,-20,
1ac50410-0d84-4087-a828-99cc2771a959,5,Agent_6,Agent_6,-20,
b5eb1045-ef58-43f9-9f3d-f88e7689e2b4,5,Agent_6,Agent_6,-20,
e6462248-9425-4193-80af-8845a880d755,5,Agent_6,Agent_6,-20,
019f597a-ea9c-45ca-afe9-7e00e3321c2a,5,Agent_6,Agent_6,-20,
cc4b2ea7-2035-4d20-ade4-9ee3e0ac2885,5,Agent_6,Agent_6,-20,
fa9afbf2-aecb-4bb2-a2a0-5b11dfc07f87,5,Agent_6,Agent_6,-20,
a0410e63-4202-4c1c-b14b-17d585949a79,5,Agent_8,Agent_6,-20,
f23264e8-aa66-4aae-95a0-ee6140925fad,5,Agent_8,Agent_6,-20,
1ac50410-0d84-4087-a828-99cc2771a959,5,Agent_8,Agent_6,-20,
b5eb1045-ef58-43f9-9f3d-f88e7689e2b4,5,Agent_8,Agent_6,-20,
e6462248-9425-4193-80af-8845a880d755,5,Agent_8,Agent_6,-20,
019f597a-ea9c-45ca-afe9-7e00e3321c2a,5,Agent_8,Agent_6,-20,
cc4b2ea7-2035-4d20-ade4-9ee3e0ac2885,5,Agent_8,Agent_6,-20,
fa9afbf2-aecb-4bb2-a2a0-5b11dfc07f87,5,Agent_8,Agent_6,-20,
a0410e63-4202-4c1c-b14b-17d585949a79,6,Agent_2,Agent_2,-20,
f23264e8-aa66-4aae-95a0-ee6140925fad,6,Agent_2,Agent_2,-20,
